"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1312","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1422","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3033","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2694","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1519","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1586","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","1261","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1611","User login with wrong email or password:   ","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2832","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1428","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
