"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1181","Check displaying of empty courses list","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","2619","User login with correct email and password","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1219","Check displaying of dashboard page","LMS system","2026-06-04","passed","2026-06-04","Dashboard","Dashboard","",""
"","1218","Navigation from login page to registration page","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2167","Create course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1255","Registration with correct email, username and password","LMS system","2026-06-04","passed","2026-06-04","Registration","Authentication","",""
"","1141","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1268","User login with wrong email or password:   ","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2300","Edit course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1230","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
