"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1349","User login with wrong email or password:   ","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1399","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1228","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1690","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","2294","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","3037","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1248","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1151","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2787","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1191","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
