"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1405","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","2666","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2389","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","2115","User login with wrong email or password:   ","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1357","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1363","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","2017","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1657","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","2833","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1400","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
