"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1232","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2580","User login with correct email and password","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2345","Create course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1276","Check displaying of empty courses list","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1449","Registration with correct email, username and password","LMS system","2026-06-04","passed","2026-06-04","Registration","Authentication","",""
"","1206","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2660","Edit course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1237","User login with wrong email or password:   ","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1271","Navigation from login page to registration page","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1310","Check displaying of dashboard page","LMS system","2026-06-04","passed","2026-06-04","Dashboard","Dashboard","",""
