"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1445","User login with wrong email or password:   ","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","1400","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3116","Create course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1310","Check displaying of dashboard page","LMS system","2026-07-23","passed","2026-07-23","Dashboard","Dashboard","",""
"","1607","Navigation from login page to registration page","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3522","User login with correct email and password","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
"","3295","Edit course","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1703","Check displaying of empty courses list","LMS system","2026-07-23","passed","2026-07-23","Courses","Courses","",""
"","1864","Registration with correct email, username and password","LMS system","2026-07-23","passed","2026-07-23","Registration","Authentication","",""
"","1408","User login with wrong email or password: user.name@gmail.com","LMS system","2026-07-23","passed","2026-07-23","Authorization","Authentication","",""
