"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2815","User login with correct email and password","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1071","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2759","Create course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1314","Check displaying of dashboard page","LMS system","2026-06-04","passed","2026-06-04","Dashboard","Dashboard","",""
"","1427","Navigation from login page to registration page","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1475","User login with wrong email or password:   ","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","3044","Edit course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1420","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1515","Registration with correct email, username and password","LMS system","2026-06-04","passed","2026-06-04","Registration","Authentication","",""
"","1519","Check displaying of empty courses list","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
