"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1349","Check displaying of dashboard page","LMS system","2026-06-04","passed","2026-06-04","Dashboard","Dashboard","",""
"","2491","Edit course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1128","Check displaying of empty courses list","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1067","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1662","Registration with correct email, username and password","LMS system","2026-06-04","passed","2026-06-04","Registration","Authentication","",""
"","2690","User login with correct email and password","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","989","Navigation from login page to registration page","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","2132","Create course","LMS system","2026-06-04","passed","2026-06-04","Courses","Courses","",""
"","1388","User login with wrong email or password: user.name@gmail.com","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
"","1348","User login with wrong email or password:   ","LMS system","2026-06-04","passed","2026-06-04","Authorization","Authentication","",""
